epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,324.58,1.39399,0.97225,0.00697,0.9097,0.79942,0.87879,0.55284,1.53437,1.00208,0.00916,0.000508886,0.000508886,0.000508886
43,332.477,1.42456,1.0761,0.00737,0.88197,0.75823,0.85061,0.52136,1.662,1.09105,0.01002,0.000502541,0.000502541,0.000502541
44,339.422,1.44147,1.10857,0.00706,0.90323,0.78038,0.85885,0.55369,1.51636,1.04212,0.00901,0.000496197,0.000496197,0.000496197
45,346.665,1.39294,0.95239,0.00707,0.90475,0.76901,0.86664,0.53406,1.50165,1.04952,0.00873,0.000489853,0.000489853,0.000489853
46,353.805,1.35127,0.97379,0.00684,0.8685,0.81237,0.86925,0.5516,1.4732,0.97075,0.00885,0.000483509,0.000483509,0.000483509
47,360.64,1.39914,0.98057,0.007,0.87663,0.79484,0.86404,0.56364,1.49245,1.01369,0.00916,0.000477165,0.000477165,0.000477165
48,368.474,1.37815,1.06588,0.00781,0.86358,0.7927,0.86989,0.5491,1.52324,0.99827,0.00898,0.00047082,0.00047082,0.00047082
49,375.184,1.33425,0.94246,0.00688,0.87539,0.80524,0.8774,0.5503,1.4962,0.93839,0.00901,0.000464476,0.000464476,0.000464476
50,382.915,1.38993,0.91017,0.00716,0.87292,0.78575,0.86786,0.51856,1.51748,1.0039,0.009,0.000458132,0.000458132,0.000458132
51,389.3,1.35867,1.03875,0.00717,0.88478,0.78224,0.86705,0.53895,1.45962,1.00521,0.00876,0.000451787,0.000451787,0.000451787
52,396.865,1.35662,1.01934,0.00709,0.8848,0.81059,0.87089,0.54936,1.51487,1.10787,0.00897,0.000445443,0.000445443,0.000445443
53,403.182,1.32765,0.90642,0.0069,0.89957,0.77843,0.8654,0.54567,1.51563,1.1594,0.00904,0.000439099,0.000439099,0.000439099
54,410.841,1.33865,0.98891,0.00694,0.85733,0.80353,0.86325,0.53872,1.57605,1.06293,0.00956,0.000432755,0.000432755,0.000432755
55,417.122,1.32512,0.95393,0.00654,0.8429,0.83508,0.86651,0.55143,1.53321,1.03827,0.00946,0.000426411,0.000426411,0.000426411
56,424.882,1.28692,0.90623,0.00651,0.88866,0.79569,0.87076,0.54942,1.50627,1.09155,0.00902,0.000420066,0.000420066,0.000420066
57,431.256,1.35194,0.9449,0.00688,0.88888,0.79363,0.86044,0.53597,1.52285,1.0499,0.00922,0.000413722,0.000413722,0.000413722
58,439.051,1.34252,0.87749,0.0066,0.91234,0.78474,0.85987,0.53741,1.57273,1.07766,0.00952,0.000407378,0.000407378,0.000407378
59,445.589,1.26962,0.86987,0.00647,0.9054,0.79258,0.87507,0.56536,1.49304,1.0041,0.00902,0.000401033,0.000401033,0.000401033
60,453.357,1.30146,0.83408,0.00635,0.87648,0.80652,0.87579,0.55096,1.49902,1.00324,0.00905,0.000394689,0.000394689,0.000394689
61,459.857,1.26407,0.84692,0.00628,0.87726,0.82018,0.87604,0.55875,1.50077,1.0308,0.00887,0.000388345,0.000388345,0.000388345
62,467.573,1.27306,0.8773,0.00665,0.93394,0.78961,0.88471,0.57378,1.45801,0.99173,0.00876,0.000382001,0.000382001,0.000382001
63,475.044,1.29845,0.883,0.00642,0.89199,0.79966,0.87383,0.55613,1.51755,1.01647,0.00906,0.000375656,0.000375656,0.000375656
64,481.818,1.30254,0.89104,0.00644,0.90662,0.77984,0.87393,0.56584,1.46243,1.03977,0.00864,0.000369312,0.000369312,0.000369312
65,489.41,1.22471,0.80384,0.00611,0.86808,0.81551,0.86989,0.55728,1.5068,1.07483,0.00929,0.000362968,0.000362968,0.000362968
66,495.915,1.29758,0.87801,0.00641,0.86754,0.82681,0.8727,0.55341,1.58364,1.0896,0.0096,0.000356624,0.000356624,0.000356624
67,503.425,1.25837,0.83725,0.00634,0.88217,0.81168,0.87312,0.56014,1.53394,1.0128,0.00935,0.00035028,0.00035028,0.00035028
68,509.806,1.24153,0.8227,0.00634,0.8752,0.80649,0.87807,0.56038,1.53086,1.03509,0.00942,0.000343935,0.000343935,0.000343935
69,517.708,1.27,0.87757,0.00669,0.92907,0.77447,0.87722,0.55518,1.55749,1.01967,0.00951,0.000337591,0.000337591,0.000337591
70,524.166,1.26163,0.81873,0.00626,0.9113,0.81113,0.88659,0.54108,1.54735,1.05037,0.00926,0.000331247,0.000331247,0.000331247
71,531.895,1.23603,0.81496,0.00613,0.89048,0.8175,0.87876,0.57369,1.52586,1.03984,0.00916,0.000324903,0.000324903,0.000324903
72,538.349,1.24386,0.84517,0.00636,0.89976,0.80301,0.87752,0.57057,1.53867,1.09461,0.00925,0.000318558,0.000318558,0.000318558
73,546.089,1.24271,0.87158,0.00633,0.86983,0.81374,0.87911,0.56951,1.50951,1.02956,0.00921,0.000312214,0.000312214,0.000312214
74,552.506,1.18172,0.77683,0.00585,0.87295,0.81772,0.8788,0.56985,1.49426,0.96385,0.00909,0.00030587,0.00030587,0.00030587
75,560.109,1.20025,0.7436,0.006,0.92129,0.79008,0.87827,0.56241,1.49306,0.99727,0.009,0.000299525,0.000299525,0.000299525
76,566.763,1.20694,0.81839,0.0061,0.93396,0.77762,0.87719,0.56687,1.53895,1.03007,0.0095,0.000293181,0.000293181,0.000293181
77,574.26,1.20767,0.81096,0.00627,0.90794,0.81198,0.88017,0.5712,1.50521,1.03479,0.00905,0.000286837,0.000286837,0.000286837
78,580.991,1.17906,0.74024,0.00587,0.88774,0.83555,0.88089,0.5624,1.58242,1.01396,0.00983,0.000280493,0.000280493,0.000280493
79,588.136,1.18768,0.73691,0.00581,0.90016,0.81852,0.87722,0.57662,1.49469,1.00133,0.00918,0.000274148,0.000274148,0.000274148
80,595.456,1.18914,0.74084,0.00601,0.91426,0.82665,0.88144,0.55829,1.49861,1.02201,0.00916,0.000267804,0.000267804,0.000267804
81,602.117,1.18442,0.78149,0.00587,0.9058,0.80882,0.88097,0.57671,1.4408,1.06495,0.00883,0.00026146,0.00026146,0.00026146
82,609.688,1.18059,0.81606,0.00602,0.8982,0.84021,0.88708,0.57691,1.4542,1.02159,0.00895,0.000255116,0.000255116,0.000255116
83,616.394,1.14986,0.70758,0.00573,0.94276,0.79532,0.88608,0.56844,1.46958,1.01846,0.00888,0.000248772,0.000248772,0.000248772
84,624.139,1.21142,0.79187,0.00576,0.92619,0.80787,0.88507,0.57292,1.4671,1.0159,0.00894,0.000242427,0.000242427,0.000242427
