epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3759.56,1.3663,0.89451,0.00353,0.7952,0.72893,0.77052,0.52788,1.16224,0.66371,0.00326,0.000248772,0.000248772,0.000248772
43,3848.58,1.34382,0.87288,0.0035,0.80007,0.71567,0.76987,0.52935,1.15967,0.66159,0.00316,0.000236083,0.000236083,0.000236083
44,3937.41,1.35668,0.88827,0.00355,0.77533,0.71355,0.74767,0.50111,1.17014,0.66578,0.00346,0.000223395,0.000223395,0.000223395
45,4025.75,1.35124,0.88339,0.00349,0.79053,0.7301,0.77782,0.53514,1.14791,0.64951,0.00326,0.000210706,0.000210706,0.000210706
46,4115.21,1.36083,0.88328,0.00349,0.7926,0.72497,0.77532,0.53472,1.14805,0.65444,0.00319,0.000198018,0.000198018,0.000198018
47,4202.92,1.33841,0.87358,0.00347,0.81493,0.72513,0.77914,0.5369,1.14574,0.64934,0.00319,0.000185329,0.000185329,0.000185329
48,4292.22,1.33653,0.8687,0.00344,0.78996,0.73204,0.77225,0.53531,1.14415,0.64903,0.00313,0.000172641,0.000172641,0.000172641
49,4381.29,1.33031,0.8656,0.00341,0.79616,0.73403,0.77905,0.54137,1.13864,0.6406,0.00312,0.000159952,0.000159952,0.000159952
50,4469.41,1.33274,0.86654,0.00342,0.81315,0.73122,0.78408,0.54559,1.13799,0.6451,0.00307,0.000147264,0.000147264,0.000147264
51,4556.54,1.26036,0.78253,0.00347,0.80323,0.71932,0.77853,0.54086,1.13553,0.64625,0.003,0.000134575,0.000134575,0.000134575
52,4639.76,1.25347,0.77152,0.00339,0.80429,0.73731,0.78569,0.54468,1.13746,0.63357,0.00304,0.000121887,0.000121887,0.000121887
53,4722.67,1.24411,0.76776,0.00336,0.80751,0.73408,0.78308,0.54726,1.13072,0.63384,0.00298,0.000109198,0.000109198,0.000109198
54,4806.64,1.22499,0.74445,0.00332,0.82601,0.72706,0.78725,0.55051,1.12966,0.62929,0.00302,9.65095e-05,9.65095e-05,9.65095e-05
55,4890.56,1.23526,0.74955,0.0033,0.80849,0.74712,0.79061,0.55189,1.12579,0.63121,0.00299,8.3821e-05,8.3821e-05,8.3821e-05
56,4973.71,1.21909,0.73612,0.00329,0.8112,0.74035,0.78914,0.55199,1.12378,0.63038,0.00293,7.11325e-05,7.11325e-05,7.11325e-05
57,5056.79,1.23257,0.75233,0.0033,0.80965,0.74322,0.7889,0.55136,1.12162,0.63117,0.00292,5.8444e-05,5.8444e-05,5.8444e-05
58,5139.99,1.22253,0.74028,0.00327,0.8118,0.74204,0.78754,0.5525,1.12552,0.62789,0.00295,4.57555e-05,4.57555e-05,4.57555e-05
59,5224.1,1.22217,0.74229,0.00328,0.79564,0.74835,0.78547,0.55,1.12256,0.63164,0.00293,3.3067e-05,3.3067e-05,3.3067e-05
60,5306.86,1.21928,0.74013,0.00325,0.81469,0.73167,0.78918,0.55287,1.12253,0.6268,0.00295,2.03785e-05,2.03785e-05,2.03785e-05
