epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1012.62,1.35597,0.88687,0.00688,0.90586,0.81387,0.87784,0.55527,1.47121,0.96155,0.0088,0.000508886,0.000508886,0.000508886
43,1031.57,1.38813,0.97415,0.00727,0.87846,0.84061,0.89199,0.57912,1.47104,0.94154,0.00912,0.000502541,0.000502541,0.000502541
44,1055.66,1.36191,0.94385,0.00667,0.91338,0.81426,0.88862,0.56637,1.55243,0.97219,0.00966,0.000496197,0.000496197,0.000496197
45,1088.81,1.35793,0.82195,0.007,0.90755,0.83587,0.88183,0.56614,1.53114,0.96709,0.00972,0.000489853,0.000489853,0.000489853
46,1111.75,1.33368,0.83392,0.00681,0.87955,0.83957,0.88083,0.57265,1.50475,1.00032,0.0098,0.000483509,0.000483509,0.000483509
47,1130.05,1.34061,0.83643,0.00682,0.8883,0.85033,0.89217,0.58977,1.45713,0.93929,0.00885,0.000477165,0.000477165,0.000477165
48,1143.8,1.37331,0.97812,0.00799,0.90664,0.85101,0.8852,0.57537,1.52606,0.96129,0.00941,0.00047082,0.00047082,0.00047082
49,1175.52,1.29267,0.83352,0.00676,0.92701,0.84073,0.89999,0.57202,1.58739,1.02203,0.0097,0.000464476,0.000464476,0.000464476
50,1195.59,1.37401,0.81124,0.00723,0.91572,0.83887,0.88622,0.55176,1.52147,0.97571,0.0094,0.000458132,0.000458132,0.000458132
51,1211.75,1.33439,0.88573,0.00698,0.92582,0.83348,0.90091,0.58061,1.44994,0.89766,0.00901,0.000451787,0.000451787,0.000451787
52,1230.53,1.34393,0.87535,0.00704,0.92667,0.856,0.91777,0.59339,1.52086,0.91166,0.00935,0.000445443,0.000445443,0.000445443
