epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,106.332,1.24027,0.92112,0.00493,0.83765,0.6583,0.72621,0.53095,1.43221,1.43379,0.00713,0.00026146,0.00026146,0.00026146
42,109.878,1.26007,0.94899,0.0053,0.83017,0.65802,0.72997,0.52393,1.45571,1.42064,0.00727,0.000248772,0.000248772,0.000248772
43,111.277,1.29235,0.99184,0.00521,0.88018,0.64623,0.72854,0.53059,1.42503,1.41355,0.00705,0.000236083,0.000236083,0.000236083
44,112.698,1.33808,1.08197,0.00533,0.87989,0.65375,0.73106,0.53473,1.39174,1.4237,0.00675,0.000223395,0.000223395,0.000223395
45,114.169,1.30015,0.91959,0.00528,0.87989,0.65375,0.73106,0.53473,1.39174,1.4237,0.00675,0.000210706,0.000210706,0.000210706
46,116.357,1.28069,0.90594,0.00543,0.86708,0.66417,0.73656,0.54348,1.4009,1.39493,0.00676,0.000198018,0.000198018,0.000198018
47,118.119,1.29431,0.92292,0.00546,0.86757,0.66178,0.73591,0.54377,1.39409,1.42307,0.00671,0.000185329,0.000185329,0.000185329
48,122.266,1.27593,0.91865,0.00518,0.85487,0.66368,0.73531,0.5441,1.40804,1.38894,0.00678,0.000172641,0.000172641,0.000172641
49,123.839,1.29054,0.98051,0.00591,0.85487,0.66368,0.73531,0.5441,1.40804,1.38894,0.00678,0.000159952,0.000159952,0.000159952
50,125.311,1.25772,0.86359,0.00484,0.86994,0.65721,0.73796,0.54537,1.4306,1.3781,0.00691,0.000147264,0.000147264,0.000147264
51,129.282,1.1935,0.89285,0.00605,0.85261,0.63837,0.7403,0.53696,1.47538,1.36851,0.00717,0.000134575,0.000134575,0.000134575
52,131.204,1.19934,0.79564,0.00563,0.78872,0.71639,0.74404,0.53653,1.50067,1.38483,0.0073,0.000121887,0.000121887,0.000121887
53,132.59,1.22185,0.82874,0.00603,0.78872,0.71639,0.74404,0.53653,1.50067,1.38483,0.0073,0.000109198,0.000109198,0.000109198
54,133.919,1.21128,0.79189,0.00625,0.79269,0.72464,0.74596,0.52762,1.5147,1.37804,0.00742,9.65095e-05,9.65095e-05,9.65095e-05
55,135.309,1.20144,0.78576,0.0061,0.825,0.58721,0.72343,0.51275,1.51178,1.37612,0.00747,8.3821e-05,8.3821e-05,8.3821e-05
56,136.666,1.25215,0.73778,0.00557,0.7355,0.63386,0.71707,0.51013,1.49894,1.37592,0.00743,7.11325e-05,7.11325e-05,7.11325e-05
57,138.007,1.19897,0.7255,0.00587,0.7355,0.63386,0.71707,0.51013,1.49894,1.37592,0.00743,5.8444e-05,5.8444e-05,5.8444e-05
58,139.335,1.21744,0.73638,0.00551,0.80959,0.60466,0.71386,0.50605,1.48007,1.3556,0.00725,4.57555e-05,4.57555e-05,4.57555e-05
59,140.901,1.20494,0.76536,0.00586,0.78727,0.61087,0.7045,0.50275,1.4736,1.3657,0.00728,3.3067e-05,3.3067e-05,3.3067e-05
60,143.013,1.17327,0.77545,0.00629,0.81741,0.59568,0.69906,0.50101,1.45061,1.37807,0.00715,2.03785e-05,2.03785e-05,2.03785e-05
