epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,316.917,1.34361,0.96343,0.00672,0.88721,0.80351,0.87444,0.56112,1.42314,1.01299,0.00863,0.000248772,0.000248772,0.000248772
43,324.665,1.39366,1.05306,0.00714,0.89028,0.78586,0.87281,0.55621,1.49608,1.03305,0.00944,0.000236083,0.000236083,0.000236083
44,331.484,1.39204,1.04412,0.00677,0.83329,0.81745,0.86493,0.55873,1.44277,1.05584,0.0089,0.000223395,0.000223395,0.000223395
45,338.493,1.34891,0.91567,0.00682,0.87159,0.7945,0.86039,0.55448,1.48212,1.05234,0.00924,0.000210706,0.000210706,0.000210706
46,345.543,1.33419,0.94981,0.00672,0.90045,0.76716,0.86353,0.54976,1.52828,1.05641,0.00946,0.000198018,0.000198018,0.000198018
47,352.115,1.32448,0.92727,0.00666,0.85109,0.80372,0.86722,0.54919,1.49701,1.05442,0.00895,0.000185329,0.000185329,0.000185329
48,359.652,1.36075,0.99728,0.00771,0.87277,0.79301,0.85509,0.54915,1.48514,1.07637,0.00922,0.000172641,0.000172641,0.000172641
49,366.111,1.3188,0.93072,0.00675,0.88589,0.7821,0.86353,0.55231,1.4934,1.05439,0.00915,0.000159952,0.000159952,0.000159952
50,373.675,1.32577,0.91553,0.00681,0.90411,0.78505,0.87224,0.55774,1.49138,1.03244,0.00907,0.000147264,0.000147264,0.000147264
51,381.765,1.25919,0.77901,0.00743,0.86744,0.81263,0.87329,0.55337,1.47284,1.02037,0.00896,0.000134575,0.000134575,0.000134575
52,389.246,1.24286,0.74762,0.00725,0.86966,0.81064,0.86672,0.55029,1.47278,1.03521,0.0087,0.000121887,0.000121887,0.000121887
53,395.47,1.23321,0.70547,0.00707,0.90096,0.77806,0.86653,0.55021,1.49336,1.05382,0.00899,0.000109198,0.000109198,0.000109198
54,402.777,1.21521,0.79555,0.00738,0.86856,0.80993,0.86643,0.54744,1.49798,1.03192,0.00952,9.65095e-05,9.65095e-05,9.65095e-05
55,408.862,1.32003,0.98388,0.00771,0.88262,0.81023,0.86971,0.5416,1.50213,1.04643,0.00936,8.3821e-05,8.3821e-05,8.3821e-05
56,416.251,1.22691,0.69613,0.00713,0.88962,0.79808,0.86715,0.55015,1.49282,1.03214,0.00938,7.11325e-05,7.11325e-05,7.11325e-05
57,422.264,1.1787,0.68152,0.00704,0.90414,0.78859,0.86765,0.5526,1.50733,1.0279,0.00946,5.8444e-05,5.8444e-05,5.8444e-05
58,429.541,1.27969,0.83387,0.00808,0.90209,0.79627,0.86891,0.54617,1.48712,1.04013,0.00932,4.57555e-05,4.57555e-05,4.57555e-05
59,435.496,1.18424,0.73204,0.00676,0.8928,0.79827,0.8689,0.54525,1.47627,1.03189,0.00926,3.3067e-05,3.3067e-05,3.3067e-05
60,442.671,1.28979,0.95991,0.00769,0.85665,0.82496,0.87184,0.54775,1.46857,1.02982,0.00924,2.03785e-05,2.03785e-05,2.03785e-05
